Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Available for sale [Pink Tamu Swahili Cafe & Restaurant],Price [Pink Tamu Swahili Cafe & Restaurant],In stock [Pink Tamu Swahili Cafe & Restaurant],Low stock [Pink Tamu Swahili Cafe & Restaurant]
serviette-pack,SER59,"Serviette, 100/Pack (Velvex)",General,,N,,,,,,,140.00,,,,N,Y,210.00,,
shaving-razors-(gillette),SHA74,Shaving Razors (Gillette),General,,N,,,,,,,0.00,,,,Y,Y,350.00,0.000,
shower,SRV05,Shower,Services,,N,,,,,,,0.00,,,,N,Y,150.00,,
shower-cap,SHO87,Shower Cap,General,,N,,,,,,,150.00,,,,N,Y,190.00,,
single-switch,CIG82,Single Switch 🚬,Cigarettes,,N,,,,,,,0.00,,,,Y,Y,35.00,75.000,
skittles,SKI83,Skittles,General,,N,,,,,,,110.00,,,,Y,Y,180.00,3.000,
smirnoff-ice-black,SMI08,Smirnoff Black Ice 330ml Can,Alcohol,,N,,,,,,,176.00,,,,Y,N,300.00,5.000,2.000
guaranna-(blue-&-white-can),GUA29,Smirnoff Ice Guaranna 330ml,Alcohol,,N,,,,,,,230.00,,,,Y,Y,335.00,4.000,3.000
smirnoff-ice-pineapple-punch,SMI66,Smirnoff Ice Pineapple Punch,Alcohol,,N,,,,,,,300.00,,,,Y,Y,430.00,0.000,
smirnoff-vodka-no.21-250ml,SMI60,Smirnoff Vodka No.21 250ml,Alcohol,,N,,,,,,,456.00,,,,Y,Y,710.00,1.000,
smoothie,SMO74,Smoothie,Nonalc Drinks,,N,,,,,,,0.00,,,,N,Y,210.00,,
snapp,SNA95,"Snapp, Apple Flavor 330ml",Alcohol,,N,,,,,,,176.00,,,,Y,Y,310.00,9.000,3.000
softcare-pad,SOF51,Softcare Pad,General,,N,,,,,,,65.00,,,,Y,Y,110.00,9.000,
