Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Available for sale [Pink Tamu Swahili Cafe & Restaurant],Price [Pink Tamu Swahili Cafe & Restaurant],In stock [Pink Tamu Swahili Cafe & Restaurant],Low stock [Pink Tamu Swahili Cafe & Restaurant]
ceramic/glass-bowl,BOWL,Ceramic/Glass Bowl,General,,N,,,,,,,235.00,,,,Y,Y,300.00,5.000,
ceramic/glass-plate,PLATE,Ceramic/Glass Plate,General,,N,,,,,,,235.00,,,,Y,Y,300.00,8.000,
chips-–-large,CHIPS-L,Chips – Large 🍟,Food,,N,,,,,,,0.00,,,,N,Y,210.00,,
chips-–-small,CHIPS-S,Chips – Small 🍟,Food,,N,,,,,,,0.00,,,,N,Y,150.00,,
choc-chip-cookies-200g,CHO32,Choc-Chip Cookies 200g,Snacks,,N,,,,,,,199.00,,,,Y,Y,290.00,-1.000,
"chocolate-milk,-glass-of",CHO22,"Chocolate Milk, Glass of",Nonalc Drinks,,N,,,,,,,0.00,,,,N,Y,100.00,,
chocolate-🍫---cadbury-bournville,CHO44,Chocolate 🍫 - Cadbury Bournville Dairy Milk,Food,,N,,,,,,,290.00,,,,Y,Y,395.00,3.000,2.000
chrome-gin---125ml,CHR89,Chrome Gin - 125ml,Shots,,N,,,,,,,0.00,,,,N,Y,175.00,,
chrome-gin-250ml,CHR66,Chrome Gin 250ml,Alcohol,,N,,,,,,,208.00,,,,Y,Y,340.00,7.000,
chrome-vodka-250ml,CHR25,Chrome Vodka 250ml,Alcohol,,N,,,,,,,217.00,,,,Y,Y,350.00,11.000,4.000
chrome-vodka-750ml,CHR80,Chrome Vodka 750ml,Alcohol,,N,,,,,,,670.00,,,,Y,Y,1350.00,2.000,
chrome-vodka-shot-chr80,CHR80-H125,Chrome Vodka Shot,Shots,,N,Size,125ml - Half Quarter,,,,,111.67,,,,N,Y,200.00,,
chrome-vodka-shot-chr80,CHR80-B150,,,,,,150ml - Big Shot,,,,,134.00,,,,,Y,290.00,,
chrome-vodka-shot-chr80,CHR80-T25,,,,,,25ml - Tiny Shot,,,,,22.33,,,,,Y,60.00,,
chrome-vodka-shot-chr80,CHR80-M75,,,,,,75ml - Medium Shot,,,,,67.00,,,,,Y,150.00,,
class-cleaning-powder,CLA49,Class Cleaning Powder,General,,N,,,,,,,30.00,,,,Y,Y,65.00,0.000,
coffee---black,COF33,Coffee - Black ☕️,Nonalc Drinks,,N,,,,,,,0.00,,,,N,Y,70.00,,
coffee---white/maziwa,COF15,Coffee - White/Maziwa ☕️ 🥛,Nonalc Drinks,,N,,,,,,,0.00,,,,N,Y,180.00,,
coke-2l,COK48,Coke 2L,Nonalc Drinks,,N,,,,,,,166.00,,,,Y,Y,380.00,2.000,1.000
coke-300ml,COK81,"Coke, 300ml, Sugar",Nonalc Drinks,<p>glass bottle</p><p>+ sugar</p>,N,,,,,,,45.00,,,,Y,Y,120.00,12.000,5.000
coke-350ml,COK42,"Coke, 350ml",Nonalc Drinks,<p>plastic bottle</p>,N,,,,,,,60.00,,,,N,Y,125.00,,
"coke,-sugarless-300ml-⚠️bila-sukari",COK54,"Coke, Sugarless 300ml ⚠️bila sukari",Nonalc Drinks,<p>Glass Coke bottle bila sukari</p>,N,,,,,,,33.00,,,,Y,Y,100.00,5.000,4.000
condom,CON69,Condom (Trust),General,<p>Trust</p>,N,,,,,,,42.00,,,,Y,Y,150.00,22.000,3.000
cooking-oil---250ml,Coo2,Cooking Oil - 250ml,General,,N,,,,,,,0.00,,,,N,Y,80.00,,
"crackers,-200g",CRA71,"Crackers, 200g",Snacks,,N,,,,,,,244.00,,,,Y,Y,290.00,0.000,
"crackies,-120g",CRA74,"Crackies, 120g",Snacks,,N,,,,,,,0.00,,,,Y,Y,200.00,0.000,
crisps---chili-&-lemon-flavor,CRI-CL100,Crisps - Chili & Lemon Flavor,Snacks,,N,Weight,100g,,,,,115.00,,,,Y,Y,170.00,1.000,
crisps---chili-&-lemon-flavor,CRI-CL20,,,,,,20g,,,,,30.00,,,,,Y,65.00,0.000,
crisps---salt-&-vinegar-flavour,CRI-SV100,Crisps - Salt & Vinegar Flavor,Snacks,,N,Weight,100g,,,,,115.00,,,,Y,Y,170.00,2.000,
crisps---salt-&-vinegar-flavour,CRI-SV20,,,,,,20g,,,,,30.00,,,,,Y,65.00,-1.000,
crisps---salted,CRI-S32,Crisps - Salted,Snacks,,N,Weight,100g,,,,,115.00,,,,Y,Y,170.00,1.000,
crisps---salted,CRI-S33,,,,,,20g,,,,,30.00,,,,,Y,65.00,2.000,
crisps,CRI90,Crisps - Tomato Flavor,Snacks,,N,Weight,100g,,,,,115.00,,,,Y,Y,170.00,0.000,
crisps,CRI89,,,,,,50g,,,,,60.00,,,,,Y,90.00,0.000,
cup,CUP64,"Cup, Takeaway 🥤",General,<p>paper material cup</p>,N,,,,,,,20.00,,,,N,Y,40.00,,
"dates,-50g",DAT29,"Dates, 50g",Food,,N,,,,,,,50.00,,,,N,Y,70.00,,
del-monte-juice,DEL12,"Del Monte Juice, 1L",Nonalc Drinks,<p>1L (sealed box)</p>,N,Flavor,Apple,,,,,259.00,,,,Y,Y,700.00,1.000,
del-monte-juice,DEL35,,,,,,Mango,,,,,259.00,,,,,Y,750.00,2.000,1.000
del-monte-juice,DEL90,,,,,,Pineapple,,,,,259.00,,,,,Y,750.00,3.000,1.000
dental-flossers,DEN44,Dental Flossers,General,,N,,,,,,,3.75,,,,Y,Y,10.00,20.000,6.000
dish-scrubber-cloth,DIS71,Dish Scrubber Cloth,General,,N,,,,,,,9.00,,,,Y,Y,750.00,1.000,
double-switch,CIG49,Double Switch 🚬,Cigarettes,,N,,,,,,,23.50,,,,Y,Y,40.00,31.000,10.000
drostdy-hof,DRO15,Drostdy Hof White Wine 750ml,Alcohol,,N,,,,,,,964.00,,,,Y,Y,2000.00,0.000,
duchessalin-fragolino,DUC16,Duchessalin Fragolino,Alcohol,,N,,,,,,,1428.00,,,,Y,Y,3000.00,0.000,
egg-(2)-boiled/fried,EGG14,Egg (2) Boiled/Fried 🍳,Food,,N,,,,,,,0.00,,,,N,Y,100.00,,
egg,EGG06,Egg 🥚,Food,<p>Whole</p>,N,,,,,,,0.00,,,,N,Y,30.00,,
embassy,CIG61,Embassy 🚬,Cigarettes,,N,,,,,,,23.50,6008165036227,,,Y,Y,35.00,39.000,9.000
empty-300ml-glass-soda-bottle,EMPT66,Empty 300ml Glass Soda Bottle,General,,N,,,,,,,35.00,,,,N,Y,50.00,,
"eno,-4.5g",ENO39,"Eno, 4.5g",Medical,,N,,,,,,,20.00,,,,Y,Y,30.00,7.000,4.000
entire-property-rental-(per-night),SRV03,Entire Property Rental (per night) 🏠,Hospitality,,N,,,,,,,0.00,,,,N,Y,20000.00,,
envelope-(used),ENV83,Envelope (Used),General,,N,,,,,,,5.00,,,,N,Y,10.00,,
event-space-rental,EVE36,Event Space Rental,Hospitality,,N,,,,,,,0.00,,,,N,Y,variable,,
fahari-(majani),FAH37,Fahari (Majani),General,,N,,,,,,,0.00,,,,Y,Y,20.00,7.000,
fanta-orange/yellow,FAN35,"Fanta Orange, 300ml",Nonalc Drinks,<p>300ml glass bottle</p>,N,,,,,,,40.00,,,,Y,Y,100.00,4.000,4.000
fanta-yellow-300ml,FAN92,"Fanta Yellow, 300ml",Nonalc Drinks,<p>300ml glass bottle</p>,N,,,,,,,40.00,,,,Y,Y,100.00,7.000,3.000
"fayaz-choco-chip-cookies,-200g",FAY27,"Fayaz Choco Chip Cookies, 200g",Snacks,,N,,,,,,,185.00,,,,Y,Y,315.00,1.000,
foreign-exchange-fee,FX-FEE,Foreign Exchange Fee,FX,,N,,,,,,,0.00,,,,N,Y,variable,,
four-cousins-white-wine,FOU44,Four Cousins White Wine 750ml,Alcohol,,N,,,,,,,1200.00,,,,Y,Y,2350.00,1.000,
geisha-bar-soap,GEI26,Geisha Bar Soap 🧼,General,,N,,,,,,,60.00,,,,Y,Y,110.00,7.000,
giblets-gin-250ml,GIL25,Gilbeys Gin 250ml,Alcohol,,N,,,,,,,435.00,,,,Y,Y,650.00,2.000,
gilbeys-gin-350ml,GIL18,Gilbeys Gin 350ml,Alcohol,,N,,,,,,,416.00,,,,Y,Y,790.00,0.000,
gilbeys-gin-750ml,GIL17,Gilbeys Gin 750ml,Alcohol,,N,,,,,,,1240.00,,,,Y,Y,2070.00,1.000,
gilbeys-gin-shot-gil17,GIL17-H125,Gilbeys Gin Shot,Shots,,N,Size,125ml - Half Quarter,,,,,206.67,,,,N,Y,370.00,,
gilbeys-gin-shot-gil17,GIL17-B150,,,,,,150ml - Big Shot,,,,,248.00,,,,,Y,530.00,,
gilbeys-gin-shot-gil17,GIL17-T25,,,,,,25ml - Tiny Shot,,,,,41.33,,,,,Y,110.00,,
gilbeys-gin-shot-gil17,GIL17-M75,,,,,,75ml - Medium Shot,,,,,124.00,,,,,Y,280.00,,
gillette-shaving-razor,GIL99,Gillette Shaving Razor,General,,N,,,,,,,60.00,,,,Y,Y,80.00,4.000,
ginger-biscuit,GIN86,Ginger Biscuit,Snacks,,N,,,,,,,5.30,,,,Y,Y,15.00,44.000,15.000
"glass,-drinking-300ml",GLASS,"Glass, Drinking 300ml",General,<p>drinking glass</p>,N,,,,,,,230.00,,,,Y,Y,300.00,7.000,3.000
goal-creamy-biscuit,GOA74,Goal Creamy Biscuit,Snacks,,N,,,,,,,40.00,,,,Y,Y,85.00,5.000,1.000
gomba,GOM64,Gomba,General,,N,,,,,,,2.00,,,,Y,Y,2.50,118.000,30.000
guinness,GUI02,"Guinness, 500ml can",Alcohol,,N,,,,,,,217.00,,,,Y,Y,350.00,10.000,3.000
hair-shampoo-and-conditioning-(miadi),HAS48,Hair Shampoo and Conditioning (Miadi),General,,N,,,,,,,567.00,,,,Y,Y,960.00,1.000,
heineken,HEI09,"Heineken, 300ml bottled",Alcohol,,N,,,,,,,295.00,,,,Y,Y,435.00,3.000,
"heineken,-can",HEI76,"Heineken, 500ml can",Alcohol,,N,,,,,,,295.00,,,,Y,Y,430.00,4.000,
hennessy-vs,HEN10,Hennessy VS 700ml,Alcohol,,N,,,,,,,5700.00,,,,Y,Y,10500.00,1.000,
"shower-gel,-hobby",FRESH38,"Hobby Shower Gel, 500ml",General,<ul><li>Fresh Care</li><li>Body Wash</li></ul>,N,,,,,,,420.00,,,,Y,Y,640.00,2.000,
hunters-choice-gin-250ml,HUN25,Hunters Choice Whisky 250ml,Alcohol,,N,,,,,,,300.00,,,,Y,Y,520.00,5.000,2.000
hunters-choice-gin-750ml,HUN60,Hunters Choice Whisky 750ml,Alcohol,,N,,,,,,,1100.00,,,,Y,Y,2250.00,2.000,
hunters-choice-whisky-shot-hun60,HUN60-H125,Hunters Choice Whisky Shot,Shots,,N,Size,125ml - Half Quarter,,,,,183.33,,,,N,Y,330.00,,
hunters-choice-whisky-shot-hun60,HUN60-B150,,,,,,150ml - Big Shot,,,,,220.00,,,,,Y,470.00,,
hunters-choice-whisky-shot-hun60,HUN60-T25,,,,,,25ml - Tiny Shot,,,,,36.67,,,,,Y,90.00,,
hunters-choice-whisky-shot-hun60,HUN60-M75,,,,,,75ml - Medium Shot,,,,,110.00,,,,,Y,250.00,,
ibuprofen,IBU76,Ibuprofen,Medical,,N,,,,,,,6.00,,,,Y,Y,25.00,44.000,9.000
imperial-bar-soap,IMP52,Imperial Bar Soap 🧼,General,,N,,,,,,,117.00,,,,Y,Y,160.00,0.000,
body-wash,IMP25,Imperial Leather Body Wash,General,<p>Shower gel</p>,N,Size,250ml,,,,,375.00,,,,Y,Y,475.00,2.000,
body-wash,IMP50,,,,,,500ml,,,,,595.00,,,,,Y,940.00,2.000,
indomie,IND64,Indomie 🍜 70g,Food,,N,,,,,,,50.00,,,,Y,Y,75.00,-2.000,
"jack-daniel's-whiskey,-350ml",JAC35,Jack Daniel's Whiskey 350ml,Alcohol,,N,,,,,,,2170.00,,,,Y,Y,3400.00,1.000,0.000
"jagermeister,-700ml",JAG42,"Jagermeister, 700ml",Alcohol,,N,,,,,,,2515.00,,,,Y,Y,4650.00,2.000,1.000
jameson-750ml,JAM91,Jameson 750ml,Alcohol,<p>Irish Whiskey</p>,N,,,,,,,3000.00,,,,Y,Y,6200.00,1.000,
jameson-shot-jam91,JAM91-H125,Jameson Shot,Shots,,N,Size,125ml - Half Quarter,,,,,500.00,,,,N,Y,900.00,,
jameson-shot-jam91,JAM91-B150,,,,,,150ml - Big Shot,,,,,600.00,,,,,Y,1290.00,,
jameson-shot-jam91,JAM91-T25,,,,,,25ml - Tiny Shot,,,,,100.00,,,,,Y,260.00,,
jameson-shot-jam91,JAM91-M75,,,,,,75ml - Medium Shot,,,,,300.00,,,,,Y,690.00,,
jawbreaker-on-a-stick,JAW18,Jawbreaker on a Stick,General,,N,,,,,,,130.00,5011061160300,,,Y,Y,190.00,3.000,
"jawbreaker,-ndogo-5-pack",JAW34,"Jawbreaker, ndogo 5-pack",General,,N,,,,,,,65.00,,,,Y,Y,90.00,0.000,
johnnie-walker-red-375ml,JWR34,Johnnie Walker Red 375ml,Alcohol,,N,,,,,,,900.00,,,,Y,Y,1850.00,3.000,
johnnie-walker-red-750ml,JWR75,Johnnie Walker Red 750ml,Alcohol,,N,,,,,,,1900.00,,,,Y,Y,3500.00,3.000,
johnnie-walker-red-shot-jwr75,JWR75-H125,Johnnie Walker Red Shot,Shots,,N,Size,125ml - Half Quarter,,,,,316.67,,,,N,Y,570.00,,
johnnie-walker-red-shot-jwr75,JWR75-B150,,,,,,150ml - Big Shot,,,,,380.00,,,,,Y,810.00,,
johnnie-walker-red-shot-jwr75,JWR75-T25,,,,,,25ml - Tiny Shot,,,,,63.33,,,,,Y,160.00,,
johnnie-walker-red-shot-jwr75,JWR75-M75,,,,,,75ml - Medium Shot,,,,,190.00,,,,,Y,430.00,,
juice,JUI86,Juice 🍹,Nonalc Drinks,<p>Glass of</p>,N,,,,,,,17.00,,,,N,Y,250.00,,
kachumbari,KAC35,Kachumbari,Food,,N,,,,,,,0.00,,,,N,Y,80.00,,
kaluma,KAL56,Kaluma Pain Balm,Medical,,N,,,,,,,20.00,,,,N,Y,35.00,,
kenya-cane-coconut-250ml,KEN31,Kenya Cane Coconut 250ml 🥥,Alcohol,,N,,,,,,,170.00,,,,Y,Y,250.00,0.000,
kenya-cane-coconut-750ml,KEN11,Kenya Cane Coconut 750ml 🥥,Alcohol,,N,,,,,,,700.00,,,,Y,Y,1000.00,0.000,
kenya-cane-coconut-shot-ken11,KEN11-H125,Kenya Cane Coconut 🥥 Shot,Shots,,N,Size,125ml - Half Quarter,,,,,116.67,,,,N,Y,210.00,,
kenya-cane-coconut-shot-ken11,KEN11-B150,,,,,,150ml - Big Shot,,,,,140.00,,,,,Y,300.00,,
kenya-cane-coconut-shot-ken11,KEN11-T25,,,,,,25ml - Tiny Shot,,,,,23.33,,,,,Y,60.00,,
kenya-cane-coconut-shot-ken11,KEN11-M75,,,,,,75ml - Medium Shot,,,,,70.00,,,,,Y,160.00,,
kenya-cane-lemon-&-ginger-250ml,KEN36,Kenya Cane Lemon & Ginger 250ml 🍋 🫚,Alcohol,<p>KC LEMON AND GINGER 250ML&nbsp;</p>,N,,,,,,,268.00,,,,Y,Y,410.00,12.000,5.000
kenya-cane-lemon-&-ginger-750ml,KEN35,Kenya Cane Lemon & Ginger 750ml 🍋🫚,Alcohol,<p>KC Lemon and Ginger 750ml&nbsp;</p>,N,,,,,,,700.00,,,,Y,Y,1310.00,3.000,1.000
kenya-cane-lemon-ginger-shot-ken35,KEN35-H125,Kenya Cane Lemon & Ginger 🍋🫚 Shot,Shots,,N,Size,125ml - Half Quarter,,,,,116.67,,,,N,Y,210.00,,
kenya-cane-lemon-ginger-shot-ken35,KEN35-B150,,,,,,150ml - Big Shot,,,,,140.00,,,,,Y,300.00,,
kenya-cane-lemon-ginger-shot-ken35,KEN35-T25,,,,,,25ml - Tiny Shot,,,,,23.33,,,,,Y,60.00,,
kenya-cane-lemon-ginger-shot-ken35,KEN35-M75,,,,,,75ml - Medium Shot,,,,,70.00,,,,,Y,160.00,,
kenya-cane-pineapple-fusion-250ml,KEN30,Kenya Cane Pineapple Fusion 250ml 🍍,Alcohol,<p>KC Pineapple 250ml</p>,N,,,,,,,268.00,,,,Y,Y,430.00,14.000,5.000
kenya-cane-pineapple-fusion-750ml,KEN12,Kenya Cane Pineapple Fusion 750ml 🍍,Alcohol,,N,,,,,,,700.00,,,,Y,Y,1500.00,2.000,
kenya-cane-pineapple-fusion-shot-ken12,KEN12-H125,Kenya Cane Pineapple Fusion 🍍 Shot,Shots,,N,Size,125ml - Half Quarter,,,,,116.67,,,,N,Y,210.00,,
kenya-cane-pineapple-fusion-shot-ken12,KEN12-B150,,,,,,150ml - Big Shot,,,,,140.00,,,,,Y,300.00,,
kenya-cane-pineapple-fusion-shot-ken12,KEN12-T25,,,,,,25ml - Tiny Shot,,,,,23.33,,,,,Y,60.00,,
kenya-cane-pineapple-fusion-shot-ken12,KEN12-M75,,,,,,75ml - Medium Shot,,,,,70.00,,,,,Y,160.00,,
kenya-cane-smooth-250ml,KEN01,Kenya Cane Smooth 250ml,Alcohol,,N,,,,,,,250.00,,,,Y,Y,410.00,6.000,3.000
kenya-cane-smooth-750ml,KEN19,Kenya Cane Smooth 750ml,Alcohol,,N,,,,,,,700.00,,,,Y,Y,1280.00,3.000,1.000
kenya-cane-smooth-shot-ken19,KEN19-H125,Kenya Cane Smooth Shot,Shots,,N,Size,125ml - Half Quarter,,,,,116.67,,,,N,Y,210.00,,
kenya-cane-smooth-shot-ken19,KEN19-B150,,,,,,150ml - Big Shot,,,,,140.00,,,,,Y,300.00,,
kenya-cane-smooth-shot-ken19,KEN19-T25,,,,,,25ml - Tiny Shot,,,,,23.33,,,,,Y,60.00,,
kenya-cane-smooth-shot-ken19,KEN19-M75,,,,,,75ml - Medium Shot,,,,,70.00,,,,,Y,160.00,,
kibiriti-(matchbox),KIB61,Kiberiti (Matchbox),General,,N,,,,,,,3.50,,,,Y,Y,10.00,77.000,9.000
"tank-dispensed-water,-kikombe-ya-maji",MAJ03,Kikombe ya maji,Maji,<p>cup of water</p>,N,,,,,,,0.00,,,,N,Y,10.00,,
kotex-woman-pad,KOT34,Kotex Woman Pad,General,,N,,,,,,,28.00,,,,N,Y,65.00,,
krest,KRE11,"Krest, 300ml",Nonalc Drinks,<p>300ml glass bottle</p>,N,,,,,,,40.00,,,,Y,Y,105.00,7.000,3.000
kudos-corn-puffs,KUD46,Kudos Corn Puffs,Snacks,,N,,,,,,,12.00,,,,Y,Y,30.00,8.000,2.000
kuku-–-half,KUK25,Kuku – Half 🐔,Food,<p>Chicken</p>,N,,,,,,,0.00,,,,N,Y,600.00,,
kuku-–-kifua,KUK24,Kuku – Kifua 🐔,Food,<p>Chicken</p>,N,,,,,,,0.00,,,,N,Y,350.00,,
kuku-–-mgu,KUK23,Kuku – Mgu 🐔,Food,<p>Chicken</p>,N,,,,,,,0.00,,,,N,Y,300.00,,
kuku-–-whole-🐔,KUKU-100,Kuku – Whole 🐔,Food,,N,,,,,,,550.00,,,,N,Y,1200.00,,
kwal-county-250ml,KWA20,Kwal County 250ml,Alcohol,,N,,,,,,,240.00,,,,Y,Y,375.00,5.000,3.000
kwal-county-750ml,KWA10,Kwal County 750ml,Alcohol,,N,,,,,,,693.00,,,,Y,Y,1090.00,2.000,
kwal-county-shot-kwa10,KWA10-H125,Kwal County Shot,Shots,,N,Size,125ml - Half Quarter,,,,,115.50,,,,N,Y,210.00,,
kwal-county-shot-kwa10,KWA10-B150,,,,,,150ml - Big Shot,,,,,138.60,,,,,Y,300.00,,
kwal-county-shot-kwa10,KWA10-T25,,,,,,25ml - Tiny Shot,,,,,23.10,,,,,Y,60.00,,
kwal-county-shot-kwa10,KWA10-M75,,,,,,75ml - Medium Shot,,,,,69.30,,,,,Y,160.00,,
laundry,SRV08,Laundry,Services,,N,,,,,,,0.00,,,,N,Y,variable,,
lemon-tea-🍵-🍋,LEMT778,Lemon Tea 🍵 🍋,Nonalc Drinks,,N,,,,,,,20.00,,,,N,Y,70.00,,
lemon-🍋,LEM92,Lemon 🍋,Food,,N,,,,,,,10.00,,,,N,Y,25.00,,
lemonade-lime,LEM34,Lemonade Lime,Nonalc Drinks,,N,,,,,,,40.00,,,,Y,Y,80.00,0.000,
lighter,LIG62,Lighter,General,,N,,,,,,,0.00,,,,Y,Y,80.00,0.000,
lollipop,LOL32,Lollipop 🍭 (King Kuba),General,,N,Flavor,Black Cherry,,,,,9.40,,,,Y,Y,25.00,46.000,
lollipop,LOL64,,,,,,Cherry,,,,,9.40,,,,,Y,30.00,3.000,
mafuta-ya-nazi,MAF54,Mafuta Ya Nazi,General,,N,,,,,,,40.00,,,,Y,Y,80.00,20.000,
mahamri,MAH60,Mahamri,Food,,N,,,,,,,0.00,,,,N,Y,60.00,,
maji---tank-dispensed,10000,Maji - Tank Dispensed,Maji,<p>water</p>,Y,Volume,1.5L,,,,,0.00,,,,N,Y,20.00,,
maji---tank-dispensed,10002,,,,,,10L,,,,,0.00,,,,,Y,55.00,,
maji---tank-dispensed,10003,,,,,,20L,,,,,0.00,,,,,Y,80.00,,
maji---tank-dispensed,MAJ-DISP-2L,,,,,,2L,,,,,0.00,,,,,Y,25.00,,
maji---tank-dispensed,10001,,,,,,5L,,,,,0.00,,,,,Y,40.00,,
mandazi,MAN44,Mandazi,Food,,N,,,,,,,0.00,,,,N,Y,20.00,,
mango,MANGO,Mango,Food,,N,,,,,,,0.00,,,,N,Y,100.00,,
"manji-chocolate-cream-biscuit,-78g",MAN54,"Manji Chocolate Cream Biscuit, 78g",Snacks,,N,,,,,,,48.00,,,,Y,Y,80.00,0.000,
mara-moja,MAR30,Mara Moja,Medical,,N,,,,,,,8.00,,,,Y,Y,15.00,144.000,
mashed-potatoes,MAS52,Mashed Potatoes,Food,,N,,,,,,,60.00,,,,N,Y,190.00,,
massage-room-rental,MAS93,Massage Room Rental,Hospitality,,N,,,,,,,0.00,,,,N,Y,variable,,
milk-500ml,MAZ07,Maziwa/Milk 500ml,Nonalc Drinks,<p>maziwa</p>,N,,,,,,,52.00,,,,N,Y,150.00,,
mchicha,MCH22,Mchicha,Food,,N,,,,,,,0.00,,,,N,Y,80.00,,
"minidress,-sequin,-side-laced,-purple",FAS63,"Minidress, sequin, side laced, purple",Fashion,,N,,,,,,,0.00,,,,Y,Y,1500.00,1.000,
mosquito-coil,MOS68,Mosquito Coil,General,,N,,,,,,,0.00,,,,N,Y,20.00,,
mpesa-cash-in,CASH-IN,MPESA Cash In 📥,Float Services,,N,,,,,,,0.00,,,,N,Y,variable,,
mpesa-cash-out,MPESA,MPESA Cash Out 📤,Float Services,,N,,,,,,,0.00,,,,N,Y,variable,,
msafi-soap,MSA56,Msafi Soap,General,,N,,,,,,,30.00,,,,N,Y,80.00,,
"nala,-70g-instant-noodles",NAL25,"Nala, 70g 🍜",Food,<p>Instant Noodles</p>,N,,,,,,,40.00,,,,Y,Y,80.00,8.000,6.000
nescafe,NES43,Nescafe,General,,N,,,,,,,0.00,,,,Y,Y,20.00,0.000,
nexaplast-bandage,NEX39,Nexaplast Elastic Bandage,Medical,,N,,,,,,,5.00,,,,N,Y,15.00,,
"nivea-radiance-shea-lotion,-400ml",NIV37,"Nivea Radiance Shea Lotion, 400ml",General,,N,,,,,,,585.00,,,,Y,Y,785.00,1.000,
"nivea-radiant-&-beauty-lotion,-400ml",NIV92,"Nivea Radiant & Beauty Lotion, 400ml",General,,N,,,,,,,730.00,,,,N,Y,890.00,,
njugu,NJUGU,Njugu,Food,,N,,,,,,,0.00,,,,N,Y,20.00,,
"nuvita-sponge-cake,-chocolate",NUV93,"Nuvita Sponge Cake, Chocolate",Snacks,,N,,,,,,,55.00,,,,Y,Y,95.00,5.000,
o,O15,O,Cigarettes,,N,,,,,,,12.00,,,,Y,Y,15.00,28.000,
